realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32786122,1434,copy,32726961,54 279,1010,NO,NO
29431729,1434,original, ,52 375,563,NO,NO
32800219,1434,original, ,61 898,952,NO,NO
32800206,1434,original, ,54 756,978,NO,NO
32800192,1434,copy,32794733,34 282,599,NO,NO
32800178,1434,copy,32796063,48 566,736,NO,NO
32786555,1434,copy,32726961,54 279,1010,NO,NO
32800092,1434,copy,32765351,57 136,1328,NO,NO
32800063,1434,original, ,34 758,609,NO,NO
32720725,1434,original, ,12 380,281,NO,NO
32799249,1434,original, ,51 423,974,NO,NO
32775684,1434,copy,32774416,49 994,1163,YES,YES
32799966,1434,copy,32780427,34 758,772,NO,NO
32775513,1434,copy,32774416,49 994,1163,YES,YES
32799983,1434,original, ,43 804,932,NO,NO
32789635,1434,copy,32733195,36 186,549,NO,NO
32775341,1434,copy,32774416,49 994,1163,YES,YES
32799916,1434,original, ,51 423,918,NO,NO
32799914,1434,original, ,50 946,1185,NO,YES
32799913,1434,original, ,72 373,1006,NO,YES
32799912,1434,copy,32405729,57 136,990,NO,NO
32774416,1434,original, ,49 994,1163,YES,YES
32797824,1434,copy,32761870,137 603,2187,NO,NO
32798949,1434,copy,32761870,119 034,1892,NO,NO
32799674,1434,copy,32597433,66 659,1212,NO,NO
32798933,1434,copy,32315656,23 807,496,NO,NO
32799685,1434,original, ,19 045,453,NO,NO
32798941,1434,copy,32705120,47 614,1058,NO,NO
32798909,1434,copy,32746280,53 327,1026,NO,NO
32783653,1434,copy,32752540,82 847,1218,YES,YES
32784453,1434,copy,32752540,82 847,1218,YES,YES
32785740,1434,copy,32752540,82 847,1218,YES,YES
32799275,1434,original, ,26 664,568,YES,NO
32785845,1434,copy,32752540,82 847,1218,YES,YES
32322810,1436,original, ,43 804,522,NO,NO
32798761,1434,copy,32761870,119 034,1892,NO,NO
32798915,1434,copy,32705139,33 329,569,NO,NO
32799323,1434,copy,32746523,30 473,597,YES,NO
32799354,1434,original, ,59 993,1538,NO,NO
32798755,1434,copy,32373985,61 898,525,NO,NO
32790485,1434,copy,32784448,24 759,649,NO,NO
32799272,1434,copy,32799259,26 664,452,NO,NO
32799222,1434,copy,32687235,60 945,992,NO,YES
27671423,1434,copy,27077681,190 454,2215,NO,NO
32790589,1434,original, ,23 807,730,NO,NO
32789403,1434,copy,30762123,36 186,671,NO,NO
32799259,1434,original, ,26 664,452,NO,NO
32799232,1434,original, ,36 186,724,NO,NO
30857412,1434,copy,32375908,29 520,738,NO,NO
31889811,1434,copy,31938086,33 329,667,NO,YES
32784448,1434,original, ,24 759,649,NO,NO
32798989,1434,original, ,95 227,1082,NO,NO
32790026,1434,original, ,37 139,571,NO,NO
32395440,1436,original, ,19 045,383,NO,NO
